Rotulo_Real,Classe_Predita
A,A
B,B
C,Z
D,D
E,E
F,F
G,G
H,H
I,I
J,A
K,K
L,L
M,M
N,N
O,O
P,P
Q,O
R,R
S,S
T,T
U,U
V,M
W,W
X,X
Y,Y
Z,Z
A,A
B,A
C,D
D,R
E,A
F,F
G,O
H,P
I,O
J,P
K,K
L,L
M,M
N,N
O,R
P,P
Q,O
R,R
S,S
T,T
U,U
V,M
W,W
X,K
Y,Y
Z,Z
A,A
B,B
C,L
D,D
E,E
F,F
G,C
H,H
I,I
J,I
K,K
L,L
M,M
N,N
O,D
P,P
Q,Q
R,B
S,S
T,I
U,U
V,M
W,W
X,K
Y,Y
Z,Z
A,A
B,B
C,C
D,D
E,E
F,F
G,G
H,H
I,I
J,A
K,K
L,L
M,M
N,S
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,Y
W,W
X,X
Y,Y
Z,Z
A,H
B,B
C,Z
D,P
E,E
F,F
G,G
H,H
I,I
J,A
K,M
L,L
M,A
N,H
O,D
P,P
Q,T
R,R
S,S
T,T
U,U
V,L
W,M
X,A
Y,Y
Z,Z
