Rotulo_Real,Classe_Predita
A,W
A,W
A,H
A,W
A,W
B,B
B,E
B,N
B,W
B,B
C,K
C,Y
C,O
C,Z
C,E
D,O
D,Z
D,O
D,D
D,P
E,R
E,Z
E,E
E,R
E,W
F,W
F,Z
F,Z
F,F
F,F
G,W
G,W
G,W
G,K
G,G
H,G
H,A
H,W
H,W
H,A
I,Y
I,Z
I,X
I,J
I,Z
J,J
J,J
J,J
J,J
J,J
K,A
K,R
K,W
K,R
K,W
L,A
L,Z
L,E
L,I
L,Z
M,F
M,M
M,W
M,M
M,J
N,N
N,W
N,W
N,M
N,H
O,O
O,Z
O,O
O,D
O,A
P,P
P,E
P,F
P,F
P,F
Q,Q
Q,F
Q,Q
Q,Q
Q,Q
R,A
R,N
R,E
R,A
R,A
S,S
S,W
S,G
S,F
S,G
T,F
T,Y
T,T
T,S
T,R
U,L
U,O
U,M
U,B
U,Q
V,D
V,D
V,V
V,U
V,V
W,R
W,R
W,W
W,M
W,X
X,N
X,A
X,X
X,A
X,W
Y,U
Y,U
Y,Y
Y,Y
Y,D
Z,Z
Z,Z
Z,R
Z,W
Z,J
