Rotulo_Real,Classe_Predita
A,A
B,B
C,J
D,O
E,E
F,F
G,G
H,B
I,Z
J,J
K,C
L,I
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,R
B,D
C,Q
D,D
E,Z
F,F
G,B
H,M
I,Z
J,X
K,K
L,A
M,M
N,M
O,D
P,P
Q,Q
R,R
S,S
T,F
U,M
V,Z
W,W
X,K
Y,Y
Z,Z
A,A
B,B
C,L
D,D
E,E
F,B
G,G
H,R
I,J
J,J
K,K
L,L
M,M
N,N
O,O
P,P
Q,Q
R,B
S,S
T,V
U,U
V,Y
W,W
X,X
Y,Y
Z,J
A,A
B,B
C,C
D,D
E,Z
F,F
G,G
H,P
I,I
J,J
K,K
L,L
M,M
N,A
O,O
P,P
Q,Q
R,R
S,G
T,Y
U,V
V,Y
W,H
X,X
Y,Y
Z,Z
A,W
B,B
C,Z
D,Q
E,E
F,H
G,W
H,A
I,I
J,J
K,A
L,S
M,X
N,G
O,B
P,P
Q,G
R,A
S,S
T,I
U,W
V,U
W,M
X,A
Y,Y
Z,J
