Rotulo_Real,Classe_Predita
A,A
B,B
C,O
D,D
E,E
F,F
G,G
H,H
I,J
J,J
K,T
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,W
B,A
C,Q
D,P
E,E
F,F
G,G
H,N
I,F
J,J
K,K
L,L
M,M
N,M
O,Q
P,P
Q,Q
R,R
S,J
T,T
U,V
V,V
W,W
X,K
Y,Y
Z,Z
A,A
B,B
C,K
D,D
E,F
F,F
G,R
H,H
I,I
J,I
K,K
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,I
U,U
V,V
W,W
X,K
Y,Y
Z,Z
A,A
B,B
C,O
D,J
E,E
F,F
G,G
H,H
I,I
J,J
K,K
L,L
M,M
N,X
O,G
P,P
Q,Q
R,R
S,S
T,T
U,U
V,Y
W,M
X,X
Y,X
Z,Z
A,N
B,B
C,Z
D,D
E,E
F,F
G,G
H,W
I,I
J,J
K,M
L,L
M,J
N,W
O,G
P,P
Q,Q
R,R
S,B
T,T
U,W
V,L
W,M
X,A
Y,P
Z,Z
