Rotulo_Real,Classe_Predita
A,A
B,B
C,C
D,D
E,E
F,P
G,G
H,H
I,J
J,J
K,U
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,T
Z,Z
A,A
B,R
C,C
D,O
E,E
F,E
G,Q
H,P
I,E
J,J
K,R
L,W
M,M
N,N
O,R
P,P
Q,Q
R,R
S,S
T,T
U,H
V,R
W,W
X,K
Y,Z
Z,Z
A,A
B,B
C,L
D,D
E,L
F,S
G,G
H,A
I,I
J,I
K,B
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,R
Y,Y
Z,Z
A,A
B,B
C,C
D,B
E,E
F,S
G,G
H,H
I,I
J,J
K,K
L,L
M,A
N,K
O,O
P,P
Q,Q
R,R
S,G
T,Y
U,U
V,Y
W,N
X,X
Y,Y
Z,Z
A,H
B,B
C,Z
D,O
E,E
F,R
G,A
H,A
I,I
J,J
K,R
L,I
M,J
N,W
O,D
P,P
Q,R
R,A
S,G
T,T
U,L
V,U
W,L
X,A
Y,P
Z,Z
