Rotulo_Real,Classe_Predita
A,A
B,F
C,L
D,D
E,E
F,P
G,G
H,H
I,I
J,J
K,C
L,I
M,M
N,N
O,O
P,P
Q,O
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,R
B,R
C,C
D,Q
E,E
F,F
G,Q
H,H
I,A
J,J
K,K
L,B
M,M
N,N
O,Q
P,P
Q,Q
R,R
S,V
T,P
U,V
V,V
W,W
X,K
Y,E
Z,J
A,A
B,R
C,L
D,B
E,F
F,F
G,R
H,K
I,I
J,J
K,K
L,B
M,M
N,N
O,G
P,P
Q,Q
R,R
S,S
T,T
U,G
V,U
W,W
X,K
Y,Y
Z,J
A,A
B,B
C,C
D,B
E,L
F,F
G,G
H,H
I,I
J,J
K,K
L,L
M,R
N,N
O,G
P,P
Q,Q
R,R
S,S
T,T
U,U
V,Y
W,A
X,X
Y,Y
Z,Z
A,H
B,B
C,Z
D,D
E,E
F,F
G,R
H,W
I,T
J,J
K,A
L,I
M,A
N,N
O,D
P,P
Q,Q
R,R
S,S
T,C
U,S
V,U
W,Q
X,A
Y,T
Z,A
