Rotulo_Real,Classe_Predita
A,A
B,B
C,O
D,D
E,E
F,F
G,G
H,H
I,J
J,J
K,U
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,A
B,A
C,C
D,D
E,C
F,F
G,G
H,N
I,J
J,J
K,K
L,L
M,M
N,N
O,Q
P,P
Q,Q
R,R
S,Y
T,T
U,U
V,V
W,W
X,T
Y,Y
Z,Z
A,A
B,B
C,C
D,D
E,E
F,F
G,G
H,H
I,J
J,L
K,K
L,L
M,M
N,N
O,O
P,P
Q,Q
R,B
S,S
T,T
U,U
V,M
W,W
X,X
Y,Y
Z,Z
A,A
B,G
C,C
D,R
E,E
F,Y
G,G
H,H
I,T
J,J
K,K
L,L
M,M
N,F
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,Y
W,A
X,X
Y,Y
Z,Z
A,A
B,B
C,Z
D,O
E,E
F,F
G,G
H,W
I,Y
J,J
K,K
L,L
M,A
N,N
O,D
P,P
Q,Q
R,R
S,S
T,Y
U,W
V,V
W,W
X,R
Y,Y
Z,B
