Rotulo_Real,Classe_Predita
A,A
B,B
C,O
D,D
E,F
F,F
G,G
H,H
I,J
J,J
K,C
L,I
M,M
N,N
O,O
P,P
Q,O
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,D
A,A
B,R
C,C
D,O
E,C
F,F
G,C
H,H
I,I
J,J
K,K
L,I
M,M
N,N
O,Q
P,R
Q,Q
R,R
S,S
T,Z
U,V
V,V
W,W
X,X
Y,P
Z,Z
A,A
B,B
C,C
D,D
E,E
F,F
G,G
H,K
I,J
J,I
K,K
L,I
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,J
A,A
B,B
C,C
D,D
E,B
F,F
G,G
H,H
I,I
J,V
K,K
L,V
M,M
N,S
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,Y
W,W
X,X
Y,X
Z,Z
A,A
B,B
C,Z
D,Z
E,R
F,F
G,G
H,A
I,I
J,J
K,X
L,S
M,J
N,N
O,D
P,P
Q,Q
R,R
S,S
T,T
U,G
V,V
W,A
X,W
Y,Y
Z,Z
