Rotulo_Real,Classe_Predita
A,A
B,E
C,L
D,D
E,E
F,F
G,G
H,H
I,J
J,J
K,V
L,I
M,M
N,N
O,O
P,P
Q,Q
R,R
S,X
T,T
U,U
V,V
W,W
X,Y
Y,Y
Z,Z
A,M
B,R
C,C
D,G
E,K
F,F
G,G
H,H
I,F
J,J
K,K
L,X
M,M
N,N
O,W
P,P
Q,Q
R,R
S,S
T,T
U,V
V,V
W,W
X,K
Y,Z
Z,Z
A,W
B,B
C,L
D,D
E,E
F,J
G,G
H,D
I,I
J,S
K,K
L,L
M,M
N,N
O,O
P,P
Q,O
R,A
S,S
T,T
U,U
V,Y
W,W
X,R
Y,Y
Z,Z
A,W
B,B
C,C
D,R
E,E
F,F
G,G
H,H
I,I
J,A
K,K
L,L
M,M
N,R
O,O
P,P
Q,Q
R,R
S,S
T,I
U,U
V,V
W,H
X,X
Y,Y
Z,Z
A,W
B,S
C,K
D,D
E,E
F,F
G,G
H,A
I,I
J,J
K,X
L,S
M,M
N,M
O,G
P,P
Q,Q
R,R
S,S
T,T
U,L
V,D
W,O
X,A
Y,Y
Z,J
