Rotulo_Real,Classe_Predita
A,A
B,B
C,S
D,D
E,E
F,P
G,G
H,H
I,Z
J,J
K,V
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,A
B,A
C,Q
D,N
E,Z
F,F
G,G
H,H
I,T
J,Z
K,K
L,L
M,M
N,N
O,Q
P,P
Q,Q
R,R
S,S
T,T
U,V
V,Y
W,W
X,F
Y,Y
Z,Z
A,A
B,B
C,C
D,D
E,L
F,H
G,E
H,H
I,J
J,I
K,A
L,L
M,M
N,N
O,O
P,R
Q,Q
R,R
S,G
T,I
U,U
V,V
W,W
X,X
Y,Y
Z,I
A,X
B,S
C,Q
D,D
E,E
F,F
G,G
H,H
I,I
J,J
K,X
L,Q
M,M
N,P
O,G
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,I
Z,Z
A,H
B,B
C,Z
D,D
E,E
F,H
G,G
H,A
I,T
J,J
K,H
L,W
M,P
N,W
O,O
P,R
Q,Q
R,P
S,S
T,T
U,W
V,M
W,L
X,A
Y,Y
Z,Z
