Rotulo_Real,Classe_Predita
A,A
A,K
A,H
A,A
A,T
B,S
B,S
B,G
B,S
B,D
C,K
C,Z
C,J
C,J
C,L
D,O
D,O
D,D
D,O
D,U
E,Z
E,E
E,P
E,B
E,P
F,R
F,I
F,E
F,I
F,E
G,G
G,G
G,A
G,W
G,G
H,U
H,A
H,M
H,M
H,A
I,T
I,Z
I,Z
I,C
I,Y
J,J
J,J
J,J
J,J
J,J
K,J
K,R
K,J
K,A
K,G
L,J
L,Y
L,E
L,I
L,J
M,E
M,M
M,A
M,A
M,M
N,Q
N,G
N,A
N,M
N,N
O,G
O,A
O,G
O,D
O,N
P,F
P,R
P,P
P,R
P,R
Q,G
Q,G
Q,K
Q,R
Q,Q
R,H
R,R
R,P
R,P
R,A
S,S
S,F
S,G
S,S
S,G
T,F
T,I
T,I
T,J
T,E
U,U
U,U
U,M
U,L
U,W
V,L
V,P
V,V
V,D
V,F
W,M
W,G
W,E
W,J
W,M
X,G
X,J
X,X
X,J
X,J
Y,C
Y,J
Y,P
Y,P
Y,Y
Z,Z
Z,B
Z,P
Z,B
Z,B
