Rotulo_Real,Classe_Predita
A,A
A,W
A,A
A,M
A,T
B,B
B,F
B,W
B,B
B,D
C,V
C,Z
C,O
C,Z
C,U
D,O
D,Z
D,D
D,D
D,B
E,J
E,D
E,P
E,B
E,Z
F,R
F,F
F,E
F,C
F,F
G,W
G,G
G,W
G,W
G,D
H,G
H,D
H,D
H,D
H,D
I,T
I,J
I,Y
I,J
I,E
J,J
J,G
J,F
J,J
J,V
K,P
K,M
K,M
K,H
K,M
L,I
L,T
L,S
L,I
L,T
M,B
M,W
M,W
M,M
M,M
N,W
N,W
N,M
N,H
N,W
O,W
O,H
O,G
O,G
O,D
P,D
P,W
P,P
P,R
P,P
Q,Q
Q,Q
Q,Q
Q,G
Q,W
R,R
R,R
R,R
R,R
R,R
S,S
S,H
S,G
S,S
S,D
T,T
T,P
T,S
T,F
T,F
U,W
U,O
U,R
U,Q
U,Q
V,Z
V,D
V,D
V,D
V,H
W,W
W,G
W,W
W,E
W,W
X,X
X,A
X,N
X,R
X,R
Y,C
Y,W
Y,Y
Y,P
Y,Y
Z,Z
Z,T
Z,E
Z,M
Z,I
