Rotulo_Real,Classe_Predita
A,A
B,G
C,D
D,O
E,E
F,F
G,G
H,H
I,I
J,J
K,I
L,J
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,Y
Y,Y
Z,Z
A,A
B,K
C,L
D,D
E,E
F,F
G,S
H,M
I,F
J,J
K,K
L,F
M,M
N,X
O,Q
P,P
Q,Q
R,K
S,A
T,F
U,U
V,X
W,W
X,X
Y,Y
Z,Z
A,A
B,B
C,L
D,D
E,E
F,F
G,L
H,N
I,I
J,J
K,R
L,L
M,M
N,N
O,O
P,P
Q,B
R,R
S,S
T,T
U,B
V,M
W,W
X,K
Y,Y
Z,Z
A,A
B,B
C,C
D,D
E,E
F,F
G,G
H,H
I,I
J,J
K,K
L,Q
M,H
N,R
O,O
P,Y
Q,Q
R,K
S,G
T,T
U,Q
V,Y
W,K
X,K
Y,Q
Z,Z
A,H
B,B
C,Z
D,D
E,E
F,F
G,A
H,K
I,I
J,J
K,R
L,Q
M,M
N,Q
O,G
P,P
Q,Q
R,R
S,S
T,T
U,W
V,B
W,G
X,R
Y,T
Z,J
