Rotulo_Real,Classe_Predita
A,A
B,B
C,O
D,D
E,E
F,F
G,G
H,H
I,J
J,J
K,C
L,E
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,A
B,A
C,C
D,Q
E,E
F,F
G,G
H,H
I,J
J,J
K,K
L,A
M,M
N,N
O,D
P,P
Q,Q
R,R
S,A
T,T
U,G
V,V
W,W
X,T
Y,Y
Z,T
A,A
B,B
C,C
D,B
E,E
F,F
G,G
H,H
I,J
J,J
K,K
L,E
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,Y
W,W
X,X
Y,Y
Z,Z
A,A
B,G
C,C
D,J
E,E
F,F
G,G
H,H
I,T
J,J
K,K
L,L
M,M
N,F
O,G
P,P
Q,Q
R,R
S,N
T,T
U,U
V,Y
W,W
X,X
Y,Y
Z,Z
A,W
B,A
C,Z
D,P
E,E
F,F
G,A
H,W
I,J
J,J
K,X
L,E
M,A
N,M
O,C
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,M
X,X
Y,T
Z,R
