Rotulo_Real,Classe_Predita
A,A
B,Z
C,Z
D,D
E,E
F,F
G,G
H,H
I,J
J,J
K,T
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,I
A,R
B,M
C,Q
D,R
E,R
F,F
G,Q
H,M
I,J
J,X
K,X
L,A
M,M
N,H
O,Q
P,R
Q,Q
R,R
S,S
T,T
U,M
V,X
W,H
X,M
Y,Y
Z,K
A,X
B,R
C,C
D,D
E,F
F,S
G,G
H,M
I,I
J,I
K,C
L,L
M,M
N,N
O,O
P,P
Q,Q
R,P
S,S
T,I
U,U
V,M
W,W
X,M
Y,Y
Z,Z
A,A
B,B
C,C
D,R
E,E
F,F
G,G
H,H
I,I
J,J
K,K
L,V
M,M
N,F
O,O
P,R
Q,Q
R,R
S,G
T,I
U,U
V,Y
W,W
X,K
Y,I
Z,Z
A,H
B,S
C,Z
D,D
E,C
F,F
G,W
H,W
I,J
J,J
K,F
L,J
M,M
N,W
O,C
P,R
Q,Q
R,R
S,S
T,K
U,U
V,L
W,A
X,A
Y,Y
Z,Z
