Rotulo_Real,Classe_Predita
A,A
B,R
C,S
D,D
E,E
F,F
G,G
H,H
I,I
J,J
K,C
L,I
M,M
N,N
O,O
P,P
Q,O
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,M
B,R
C,Q
D,R
E,R
F,F
G,Q
H,H
I,F
J,Z
K,K
L,R
M,M
N,N
O,O
P,P
Q,Q
R,R
S,G
T,T
U,D
V,K
W,W
X,K
Y,Z
Z,Z
A,X
B,R
C,E
D,D
E,L
F,F
G,G
H,A
I,I
J,J
K,R
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,M
W,W
X,M
Y,Y
Z,Z
A,A
B,A
C,C
D,R
E,E
F,F
G,G
H,H
I,I
J,J
K,K
L,L
M,M
N,R
O,O
P,M
Q,Q
R,R
S,S
T,T
U,U
V,Y
W,A
X,X
Y,Y
Z,Z
A,S
B,R
C,Z
D,O
E,R
F,F
G,J
H,A
I,Y
J,J
K,R
L,I
M,M
N,Q
O,D
P,P
Q,Q
R,R
S,S
T,T
U,Q
V,D
W,Z
X,A
Y,V
Z,Z
