Rotulo_Real,Classe_Predita
A,A
B,B
C,C
D,D
E,E
F,F
G,G
H,D
I,I
J,J
K,E
L,I
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,R
B,G
C,G
D,D
E,E
F,F
G,G
H,N
I,P
J,J
K,K
L,L
M,M
N,N
O,Q
P,P
Q,Q
R,R
S,S
T,T
U,B
V,V
W,W
X,K
Y,F
Z,Z
A,A
B,B
C,E
D,D
E,E
F,F
G,C
H,M
I,I
J,I
K,R
L,L
M,M
N,N
O,O
P,P
Q,Q
R,B
S,S
T,T
U,U
V,M
W,W
X,X
Y,Y
Z,Z
A,A
B,B
C,C
D,F
E,E
F,F
G,G
H,B
I,I
J,J
K,K
L,L
M,M
N,R
O,G
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,W
B,B
C,Z
D,D
E,E
F,F
G,G
H,N
I,I
J,J
K,R
L,S
M,M
N,Q
O,D
P,J
Q,Q
R,R
S,S
T,T
U,D
V,V
W,X
X,X
Y,Y
Z,Z
