Rotulo_Real,Classe_Predita
A,A
B,B
C,C
D,D
E,E
F,F
G,G
H,H
I,J
J,J
K,K
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,L
Z,Z
A,A
B,R
C,C
D,O
E,K
F,F
G,G
H,H
I,J
J,J
K,K
L,K
M,M
N,M
O,Q
P,P
Q,Q
R,R
S,S
T,F
U,V
V,V
W,W
X,C
Y,T
Z,Z
A,A
B,B
C,C
D,D
E,E
F,F
G,G
H,H
I,S
J,J
K,K
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,I
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,A
B,B
C,C
D,J
E,E
F,F
G,G
H,H
I,T
J,J
K,K
L,L
M,M
N,R
O,O
P,P
Q,Q
R,R
S,S
T,F
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,H
B,B
C,Z
D,O
E,E
F,F
G,W
H,N
I,I
J,J
K,K
L,L
M,A
N,Q
O,D
P,P
Q,Q
R,R
S,S
T,F
U,U
V,V
W,Q
X,A
Y,V
Z,Z
