Rotulo_Real,Classe_Predita
A,A
B,A
C,O
D,D
E,E
F,F
G,G
H,H
I,J
J,J
K,V
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,R
B,A
C,R
D,Q
E,S
F,R
G,G
H,M
I,J
J,Z
K,K
L,K
M,M
N,M
O,R
P,R
Q,Q
R,R
S,S
T,T
U,Q
V,Y
W,W
X,T
Y,Y
Z,Z
A,A
B,B
C,C
D,D
E,B
F,F
G,R
H,H
I,I
J,J
K,K
L,L
M,M
N,N
O,O
P,P
Q,Q
R,B
S,S
T,T
U,H
V,V
W,W
X,X
Y,Y
Z,I
A,A
B,G
C,C
D,E
E,E
F,F
G,G
H,H
I,I
J,J
K,K
L,L
M,N
N,X
O,G
P,P
Q,Q
R,R
S,S
T,T
U,U
V,Y
W,M
X,X
Y,Y
Z,I
A,H
B,A
C,Z
D,D
E,E
F,F
G,W
H,M
I,I
J,J
K,R
L,S
M,P
N,Q
O,D
P,P
Q,Q
R,A
S,S
T,T
U,H
V,V
W,W
X,K
Y,Y
Z,Z
