Rotulo_Real,Classe_Predita
A,A
B,R
C,O
D,D
E,E
F,F
G,G
H,H
I,J
J,J
K,K
L,I
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,I
Z,Z
A,A
B,A
C,Q
D,G
E,K
F,F
G,Q
H,M
I,J
J,J
K,K
L,A
M,M
N,M
O,M
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,K
Y,Y
Z,Z
A,A
B,B
C,C
D,B
E,E
F,F
G,G
H,H
I,I
J,J
K,K
L,L
M,M
N,N
O,G
P,P
Q,Q
R,B
S,S
T,V
U,U
V,V
W,W
X,Z
Y,Y
Z,Z
A,A
B,G
C,C
D,J
E,E
F,F
G,G
H,H
I,I
J,J
K,K
L,L
M,M
N,R
O,G
P,P
Q,Q
R,R
S,S
T,T
U,U
V,Y
W,W
X,X
Y,Y
Z,Z
A,A
B,B
C,Z
D,O
E,E
F,F
G,G
H,W
I,I
J,J
K,R
L,S
M,M
N,K
O,G
P,P
Q,Q
R,R
S,S
T,T
U,B
V,V
W,W
X,R
Y,I
Z,Z
