Rotulo_Real,Classe_Predita
A,A
B,B
C,O
D,L
E,E
F,F
G,G
H,H
I,J
J,J
K,L
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,I
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,R
B,D
C,C
D,D
E,R
F,F
G,G
H,M
I,F
J,J
K,K
L,Q
M,M
N,M
O,Q
P,P
Q,Q
R,R
S,S
T,F
U,V
V,V
W,W
X,K
Y,Z
Z,T
A,A
B,B
C,C
D,D
E,E
F,F
G,G
H,H
I,I
J,I
K,R
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,I
U,U
V,Y
W,W
X,X
Y,Y
Z,Z
A,A
B,S
C,C
D,J
E,E
F,F
G,G
H,H
I,I
J,J
K,K
L,L
M,M
N,R
O,O
P,P
Q,G
R,R
S,S
T,Y
U,U
V,Y
W,W
X,X
Y,I
Z,Z
A,W
B,B
C,Z
D,O
E,E
F,F
G,W
H,A
I,I
J,J
K,R
L,I
M,W
N,W
O,D
P,P
Q,G
R,R
S,S
T,C
U,Q
V,V
W,R
X,R
Y,P
Z,Z
