Rotulo_Real,Classe_Predita
A,A
B,B
C,I
D,D
E,E
F,F
G,G
H,H
I,J
J,J
K,K
L,I
M,M
N,N
O,O
P,R
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,R
B,K
C,C
D,O
E,E
F,F
G,G
H,H
I,J
J,J
K,K
L,L
M,M
N,N
O,R
P,K
Q,Q
R,R
S,A
T,T
U,V
V,V
W,W
X,R
Y,T
Z,Z
A,A
B,B
C,K
D,D
E,E
F,F
G,L
H,H
I,I
J,J
K,R
L,E
M,M
N,N
O,O
P,V
Q,Q
R,R
S,S
T,T
U,U
V,Y
W,W
X,X
Y,Y
Z,Z
A,A
B,B
C,C
D,B
E,E
F,F
G,G
H,H
I,I
J,J
K,K
L,L
M,M
N,X
O,O
P,O
Q,Q
R,R
S,S
T,T
U,U
V,Y
W,B
X,X
Y,Y
Z,Z
A,N
B,B
C,Z
D,D
E,E
F,F
G,G
H,W
I,I
J,J
K,K
L,S
M,M
N,N
O,G
P,F
Q,Q
R,F
S,S
T,T
U,W
V,S
W,M
X,A
Y,V
Z,Z
