Rotulo_Real,Classe_Predita
A,A
B,B
C,O
D,D
E,R
F,F
G,G
H,H
I,I
J,J
K,Y
L,I
M,H
N,N
O,O
P,P
Q,Q
R,R
S,E
T,Z
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,Z
B,N
C,Q
D,P
E,E
F,F
G,N
H,N
I,I
J,J
K,K
L,K
M,M
N,M
O,Q
P,P
Q,Q
R,R
S,X
T,F
U,M
V,V
W,W
X,X
Y,Y
Z,Z
A,A
B,B
C,F
D,D
E,F
F,F
G,G
H,H
I,I
J,J
K,R
L,L
M,M
N,N
O,G
P,P
Q,Q
R,R
S,I
T,J
U,U
V,M
W,W
X,K
Y,Y
Z,Z
A,A
B,B
C,C
D,D
E,L
F,F
G,G
H,H
I,I
J,J
K,K
L,L
M,M
N,F
O,G
P,P
Q,Q
R,R
S,I
T,Y
U,U
V,V
W,N
X,X
Y,Y
Z,Z
A,D
B,B
C,Z
D,O
E,R
F,F
G,G
H,A
I,I
J,J
K,A
L,Z
M,P
N,N
O,D
P,R
Q,Q
R,R
S,J
T,Z
U,D
V,V
W,L
X,A
Y,Y
Z,B
