Rotulo_Real,Classe_Predita
A,A
B,B
C,C
D,D
E,F
F,F
G,G
H,H
I,F
J,J
K,V
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,Y
Y,Y
Z,Z
A,R
B,B
C,Q
D,O
E,A
F,F
G,O
H,M
I,J
J,J
K,K
L,A
M,M
N,W
O,O
P,P
Q,Q
R,R
S,I
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,A
B,B
C,C
D,D
E,L
F,F
G,G
H,H
I,T
J,J
K,R
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,I
U,U
V,U
W,W
X,X
Y,Y
Z,Z
A,A
B,B
C,C
D,J
E,E
F,F
G,G
H,H
I,I
J,J
K,K
L,L
M,X
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,W
B,B
C,Z
D,Q
E,E
F,F
G,K
H,N
I,J
J,J
K,R
L,I
M,M
N,W
O,D
P,R
Q,Q
R,R
S,S
T,T
U,U
V,U
W,L
X,R
Y,P
Z,Z
