Rotulo_Real,Classe_Predita
A,A
B,G
C,E
D,D
E,E
F,F
G,G
H,H
I,J
J,J
K,Y
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,W
B,R
C,C
D,Q
E,E
F,F
G,G
H,H
I,I
J,Z
K,K
L,S
M,M
N,N
O,R
P,D
Q,R
R,R
S,S
T,T
U,V
V,V
W,W
X,R
Y,Y
Z,Z
A,A
B,E
C,C
D,D
E,E
F,F
G,G
H,H
I,Z
J,T
K,K
L,E
M,M
N,N
O,O
P,P
Q,G
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,A
B,S
C,C
D,B
E,E
F,F
G,G
H,H
I,I
J,J
K,K
L,S
M,M
N,R
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,X
Z,Z
A,H
B,B
C,Z
D,D
E,E
F,F
G,G
H,N
I,J
J,J
K,B
L,I
M,M
N,G
O,D
P,P
Q,G
R,R
S,S
T,T
U,U
V,V
W,E
X,A
Y,P
Z,Z
