Rotulo_Real,Classe_Predita
A,A
B,E
C,J
D,D
E,E
F,F
G,G
H,H
I,I
J,J
K,T
L,E
M,M
N,N
O,O
P,P
Q,Q
R,R
S,I
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,A
B,A
C,Q
D,N
E,R
F,F
G,R
H,M
I,J
J,J
K,K
L,K
M,M
N,N
O,Q
P,P
Q,Q
R,R
S,S
T,T
U,V
V,V
W,W
X,K
Y,Z
Z,Z
A,A
B,B
C,C
D,D
E,E
F,F
G,E
H,H
I,I
J,J
K,K
L,L
M,M
N,N
O,G
P,P
Q,Q
R,R
S,S
T,T
U,D
V,V
W,W
X,X
Y,Y
Z,J
A,A
B,B
C,C
D,B
E,E
F,F
G,G
H,H
I,I
J,J
K,I
L,Q
M,H
N,N
O,Q
P,P
Q,Q
R,R
S,S
T,I
U,U
V,Y
W,H
X,X
Y,Y
Z,Z
A,H
B,S
C,Z
D,D
E,E
F,F
G,G
H,A
I,I
J,J
K,A
L,J
M,M
N,S
O,D
P,R
Q,Q
R,R
S,S
T,I
U,U
V,V
W,W
X,W
Y,J
Z,J
