Rotulo_Real,Classe_Predita
A,A
B,A
C,O
D,D
E,E
F,F
G,G
H,H
I,Y
J,J
K,Z
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,J
T,T
U,U
V,V
W,W
X,Z
Y,Y
Z,Z
A,A
B,A
C,Q
D,N
E,K
F,F
G,G
H,M
I,I
J,F
K,K
L,L
M,M
N,M
O,O
P,P
Q,Q
R,R
S,S
T,T
U,V
V,V
W,W
X,K
Y,Y
Z,A
A,A
B,B
C,L
D,D
E,F
F,F
G,E
H,H
I,I
J,I
K,R
L,L
M,M
N,N
O,B
P,P
Q,Q
R,R
S,S
T,T
U,D
V,M
W,W
X,X
Y,Y
Z,Z
A,A
B,B
C,O
D,J
E,E
F,F
G,G
H,H
I,I
J,V
K,K
L,L
M,M
N,X
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,Y
W,W
X,X
Y,Y
Z,Z
A,W
B,B
C,Z
D,J
E,E
F,F
G,W
H,A
I,Y
J,J
K,A
L,Z
M,M
N,N
O,G
P,P
Q,Q
R,A
S,S
T,T
U,W
V,V
W,R
X,X
Y,Y
Z,Z
