Rotulo_Real,Classe_Predita
A,A
B,B
C,J
D,D
E,E
F,F
G,G
H,H
I,J
J,J
K,I
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,I
T,T
U,U
V,V
W,W
X,Y
Y,Y
Z,Z
A,A
B,R
C,R
D,O
E,F
F,F
G,R
H,M
I,J
J,J
K,K
L,K
M,M
N,N
O,O
P,P
Q,Q
R,R
S,F
T,T
U,D
V,V
W,W
X,K
Y,Z
Z,Z
A,A
B,B
C,C
D,D
E,L
F,F
G,G
H,H
I,I
J,I
K,R
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,Y
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,A
B,B
C,C
D,V
E,E
F,T
G,G
H,H
I,I
J,J
K,K
L,L
M,M
N,F
O,G
P,P
Q,Q
R,R
S,S
T,T
U,U
V,Y
W,W
X,X
Y,Y
Z,Z
A,W
B,B
C,Z
D,D
E,E
F,F
G,G
H,D
I,I
J,J
K,A
L,S
M,D
N,K
O,G
P,F
Q,Q
R,R
S,S
T,T
U,U
V,V
W,L
X,A
Y,Y
Z,Z
