Rotulo_Real,Classe_Predita
A,A
A,A
A,H
A,J
A,W
B,B
B,B
B,C
B,B
B,D
C,Z
C,K
C,K
C,X
C,Z
D,O
D,O
D,O
D,D
D,L
E,E
E,E
E,R
E,R
E,E
F,K
F,R
F,E
F,A
F,F
G,W
G,A
G,G
G,A
G,E
H,W
H,A
H,D
H,H
H,D
I,T
I,Z
I,Y
I,I
I,Y
J,J
J,J
J,J
J,J
J,J
K,K
K,R
K,K
K,K
K,R
L,W
L,F
L,W
L,E
L,I
M,B
M,M
M,B
M,E
M,M
N,Q
N,Q
N,N
N,W
N,O
O,G
O,Z
O,G
O,D
O,W
P,T
P,E
P,T
P,R
P,F
Q,Q
Q,G
Q,Q
Q,Q
Q,Q
R,E
R,S
R,L
R,R
R,A
S,S
S,S
S,S
S,F
S,S
T,F
T,F
T,R
T,K
T,W
U,D
U,O
U,D
U,Q
U,W
V,D
V,O
V,D
V,B
V,F
W,D
W,E
W,R
W,M
W,R
X,K
X,M
X,N
X,A
X,X
Y,U
Y,V
Y,Y
Y,R
Y,T
Z,J
Z,A
Z,Z
Z,R
Z,S
