Rotulo_Real,Classe_Predita
A,A
B,B
C,Z
D,O
E,E
F,F
G,G
H,B
I,J
J,J
K,C
L,W
M,M
N,N
O,O
P,P
Q,Q
R,R
S,I
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,I
A,A
B,A
C,O
D,D
E,E
F,F
G,Q
H,N
I,J
J,J
K,K
L,W
M,U
N,H
O,D
P,P
Q,D
R,R
S,S
T,Z
U,M
V,V
W,W
X,K
Y,Y
Z,Z
A,A
B,B
C,E
D,D
E,E
F,P
G,G
H,H
I,I
J,J
K,E
L,L
M,M
N,N
O,G
P,P
Q,Q
R,R
S,G
T,J
U,U
V,V
W,W
X,X
Y,Y
Z,J
A,X
B,B
C,Q
D,V
E,E
F,F
G,G
H,H
I,I
J,J
K,K
L,L
M,B
N,B
O,Q
P,P
Q,I
R,R
S,S
T,I
U,U
V,Y
W,W
X,X
Y,X
Z,Z
A,N
B,B
C,L
D,D
E,E
F,F
G,G
H,A
I,I
J,J
K,E
L,W
M,M
N,N
O,G
P,P
Q,Q
R,A
S,B
T,T
U,U
V,V
W,L
X,X
Y,Y
Z,Z
