Rotulo_Real,Classe_Predita
A,A
B,R
C,O
D,D
E,E
F,F
G,G
H,H
I,J
J,J
K,L
L,Z
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,Y
Y,Y
Z,Z
A,R
B,J
C,G
D,O
E,E
F,F
G,G
H,M
I,I
J,J
K,R
L,K
M,M
N,G
O,O
P,P
Q,Q
R,R
S,N
T,T
U,B
V,F
W,W
X,K
Y,X
Z,Z
A,R
B,R
C,C
D,D
E,F
F,F
G,B
H,H
I,T
J,J
K,R
L,E
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,M
W,W
X,Z
Y,Y
Z,Z
A,A
B,B
C,C
D,B
E,E
F,F
G,G
H,H
I,I
J,J
K,K
L,E
M,H
N,R
O,G
P,P
Q,Q
R,R
S,S
T,F
U,U
V,Y
W,W
X,X
Y,X
Z,Z
A,W
B,S
C,Z
D,D
E,E
F,F
G,A
H,A
I,T
J,J
K,A
L,I
M,M
N,K
O,D
P,P
Q,W
R,R
S,S
T,T
U,U
V,Y
W,U
X,R
Y,F
Z,Z
