Rotulo_Real,Classe_Predita
A,A
B,R
C,E
D,D
E,E
F,F
G,G
H,H
I,I
J,J
K,C
L,I
M,M
N,N
O,O
P,P
Q,U
R,R
S,I
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,A
B,R
C,C
D,R
E,E
F,F
G,O
H,H
I,A
J,J
K,K
L,K
M,M
N,N
O,D
P,D
Q,Q
R,R
S,E
T,Z
U,U
V,Y
W,W
X,K
Y,B
Z,A
A,A
B,B
C,C
D,D
E,E
F,F
G,L
H,H
I,J
J,J
K,K
L,L
M,M
N,N
O,Q
P,P
Q,Q
R,Q
S,S
T,T
U,M
V,Y
W,W
X,X
Y,Y
Z,Z
A,A
B,S
C,C
D,V
E,E
F,Y
G,G
H,H
I,T
J,J
K,K
L,K
M,B
N,N
O,G
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,V
X,X
Y,Y
Z,Z
A,W
B,B
C,Z
D,D
E,E
F,F
G,E
H,H
I,S
J,J
K,X
L,I
M,W
N,C
O,D
P,P
Q,N
R,R
S,S
T,T
U,U
V,V
W,L
X,A
Y,Y
Z,Z
