Rotulo_Real,Classe_Predita
A,X
A,K
A,H
A,W
A,X
B,D
B,S
B,W
B,W
B,O
C,K
C,Z
C,W
C,W
C,Z
D,O
D,D
D,D
D,D
D,L
E,Z
E,D
E,P
E,P
E,E
F,W
F,R
F,A
F,G
F,W
G,W
G,J
G,G
G,W
G,G
H,N
H,W
H,W
H,W
H,D
I,Z
I,I
I,Y
I,G
I,Y
J,J
J,J
J,M
J,J
J,J
K,V
K,R
K,M
K,R
K,V
L,I
L,Z
L,T
L,I
L,I
M,B
M,O
M,B
M,W
M,N
N,K
N,N
N,W
N,H
N,N
O,W
O,W
O,O
O,D
O,G
P,A
P,R
P,P
P,R
P,R
Q,F
Q,F
Q,W
Q,W
Q,Q
R,R
R,R
R,H
R,R
R,A
S,S
S,K
S,S
S,S
S,S
T,S
T,F
T,X
T,F
T,K
U,W
U,O
U,W
U,D
U,U
V,H
V,O
V,U
V,D
V,H
W,W
W,D
W,W
W,M
W,R
X,N
X,N
X,X
X,H
X,X
Y,T
Y,V
Y,V
Y,P
Y,P
Z,C
Z,S
Z,X
Z,E
Z,E
