Rotulo_Real,Classe_Predita
A,A
B,Z
C,E
D,D
E,E
F,F
G,G
H,H
I,J
J,J
K,E
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,R
B,A
C,C
D,Q
E,A
F,F
G,C
H,H
I,I
J,A
K,R
L,I
M,M
N,N
O,Q
P,P
Q,G
R,R
S,S
T,T
U,U
V,P
W,W
X,K
Y,X
Z,Z
A,A
B,B
C,C
D,D
E,E
F,F
G,G
H,H
I,I
J,J
K,X
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,U
W,W
X,X
Y,Y
Z,Z
A,A
B,B
C,C
D,R
E,E
F,F
G,G
H,H
I,I
J,J
K,K
L,L
M,M
N,R
O,N
P,P
Q,Q
R,R
S,G
T,T
U,U
V,M
W,B
X,X
Y,Y
Z,Z
A,N
B,B
C,Z
D,D
E,E
F,F
G,G
H,W
I,I
J,J
K,H
L,L
M,J
N,M
O,D
P,R
Q,Q
R,A
S,S
T,T
U,U
V,U
W,W
X,A
Y,P
Z,J
