Rotulo_Real,Classe_Predita
A,A
B,B
C,D
D,D
E,E
F,F
G,G
H,H
I,I
J,J
K,K
L,I
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,I
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,R
B,F
C,Q
D,O
E,R
F,F
G,Q
H,M
I,F
J,J
K,K
L,K
M,M
N,M
O,O
P,P
Q,Q
R,R
S,S
T,T
U,Q
V,V
W,M
X,K
Y,Z
Z,Z
A,A
B,R
C,C
D,D
E,L
F,F
G,G
H,D
I,I
J,X
K,K
L,L
M,M
N,N
O,G
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,K
Y,Y
Z,Z
A,W
B,B
C,C
D,J
E,E
F,F
G,G
H,H
I,I
J,J
K,K
L,L
M,M
N,F
O,G
P,P
Q,Q
R,R
S,S
T,T
U,U
V,Y
W,P
X,X
Y,Y
Z,Z
A,W
B,S
C,Z
D,D
E,E
F,F
G,G
H,W
I,I
J,J
K,R
L,S
M,J
N,N
O,G
P,R
Q,Q
R,R
S,S
T,F
U,U
V,V
W,E
X,A
Y,O
Z,Z
