Rotulo_Real,Classe_Predita
A,A
B,B
C,O
D,D
E,E
F,F
G,G
H,H
I,F
J,J
K,K
L,I
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,R
B,A
C,Q
D,O
E,E
F,F
G,R
H,H
I,F
J,J
K,X
L,L
M,M
N,M
O,Q
P,P
Q,Q
R,R
S,S
T,Z
U,V
V,V
W,W
X,Y
Y,Z
Z,Z
A,A
B,B
C,L
D,D
E,D
F,F
G,L
H,H
I,I
J,F
K,R
L,L
M,M
N,N
O,U
P,P
Q,Q
R,B
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,A
B,G
C,C
D,D
E,E
F,F
G,G
H,H
I,I
J,J
K,K
L,L
M,A
N,S
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,Y
W,W
X,X
Y,Y
Z,Z
A,D
B,B
C,I
D,D
E,F
F,F
G,G
H,W
I,F
J,J
K,R
L,S
M,J
N,N
O,O
P,A
Q,Q
R,A
S,S
T,T
U,L
V,H
W,R
X,N
Y,Y
Z,Z
