Rotulo_Real,Classe_Predita
A,J
B,I
C,C
D,D
E,F
F,F
G,G
H,H
I,I
J,J
K,F
L,I
M,M
N,N
O,O
P,P
Q,Q
R,R
S,I
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,R
B,R
C,C
D,R
E,E
F,F
G,O
H,M
I,J
J,J
K,R
L,I
M,M
N,N
O,Q
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,F
Z,Z
A,W
B,B
C,C
D,B
E,L
F,F
G,G
H,H
I,I
J,I
K,B
L,E
M,M
N,N
O,O
P,P
Q,Q
R,B
S,S
T,I
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,X
B,B
C,C
D,B
E,E
F,F
G,G
H,H
I,I
J,J
K,I
L,L
M,M
N,R
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,Y
W,W
X,X
Y,Y
Z,Z
A,M
B,B
C,Z
D,I
E,E
F,F
G,G
H,W
I,I
J,J
K,X
L,I
M,W
N,N
O,D
P,R
Q,Q
R,R
S,S
T,T
U,L
V,V
W,W
X,J
Y,P
Z,Z
