Rotulo_Real,Classe_Predita
A,A
B,B
C,C
D,D
E,E
F,F
G,G
H,H
I,T
J,J
K,C
L,C
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,Y
Y,Y
Z,Z
A,W
B,I
C,O
D,D
E,I
F,T
G,W
H,M
I,S
J,W
K,K
L,D
M,M
N,M
O,O
P,P
Q,Q
R,R
S,S
T,T
U,M
V,V
W,W
X,X
Y,P
Z,Z
A,A
B,B
C,L
D,D
E,E
F,S
G,L
H,N
I,I
J,I
K,X
L,E
M,M
N,N
O,O
P,P
Q,Q
R,R
S,G
T,I
U,U
V,V
W,W
X,X
Y,V
Z,Z
A,A
B,I
C,O
D,J
E,E
F,F
G,G
H,B
I,I
J,J
K,L
L,L
M,N
N,X
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,Y
W,W
X,X
Y,X
Z,Z
A,W
B,B
C,Z
D,D
E,E
F,F
G,G
H,A
I,I
J,J
K,R
L,J
M,B
N,M
O,G
P,P
Q,Q
R,S
S,S
T,T
U,U
V,L
W,A
X,A
Y,P
Z,Z
