Rotulo_Real,Classe_Predita
A,A
B,B
C,C
D,S
E,E
F,F
G,G
H,H
I,J
J,J
K,K
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,Y
Y,Y
Z,Z
A,B
B,R
C,C
D,Q
E,R
F,F
G,Q
H,H
I,W
J,J
K,K
L,L
M,B
N,M
O,O
P,P
Q,Q
R,R
S,I
T,T
U,M
V,V
W,W
X,V
Y,F
Z,D
A,K
B,B
C,C
D,D
E,E
F,F
G,L
H,H
I,I
J,S
K,K
L,L
M,M
N,N
O,O
P,P
Q,G
R,R
S,S
T,T
U,U
V,F
W,W
X,K
Y,Y
Z,Z
A,A
B,B
C,C
D,J
E,L
F,V
G,G
H,H
I,T
J,J
K,K
L,L
M,M
N,K
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,M
W,W
X,X
Y,T
Z,Z
A,R
B,B
C,Z
D,D
E,E
F,F
G,G
H,A
I,T
J,J
K,A
L,L
M,M
N,Q
O,D
P,P
Q,Q
R,R
S,S
T,T
U,X
V,C
W,K
X,X
Y,P
Z,Z
