Rotulo_Real,Classe_Predita
A,A
B,B
C,O
D,D
E,E
F,F
G,G
H,H
I,I
J,J
K,I
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,I
T,T
U,U
V,V
W,W
X,Y
Y,Y
Z,Z
A,P
B,S
C,V
D,D
E,F
F,F
G,S
H,M
I,W
J,J
K,K
L,A
M,M
N,N
O,G
P,P
Q,N
R,R
S,S
T,T
U,N
V,Y
W,W
X,F
Y,Z
Z,T
A,A
B,B
C,L
D,D
E,S
F,F
G,U
H,N
I,I
J,I
K,K
L,E
M,M
N,N
O,G
P,R
Q,Q
R,R
S,S
T,S
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,J
B,S
C,E
D,S
E,E
F,F
G,G
H,K
I,I
J,J
K,X
L,L
M,M
N,R
O,H
P,P
Q,E
R,R
S,S
T,T
U,U
V,Y
W,H
X,X
Y,Y
Z,Z
A,W
B,B
C,Z
D,D
E,E
F,A
G,G
H,N
I,I
J,J
K,X
L,Z
M,J
N,H
O,G
P,R
Q,Q
R,R
S,S
T,T
U,U
V,D
W,M
X,W
Y,J
Z,Z
