Rotulo_Real,Classe_Predita
A,R
A,A
A,H
A,W
A,K
B,A
B,P
B,P
B,B
B,R
C,X
C,C
C,N
C,A
C,Z
D,G
D,M
D,D
D,O
D,N
E,A
E,Z
E,E
E,P
E,B
F,A
F,F
F,F
F,J
F,F
G,G
G,A
G,W
G,B
G,G
H,K
H,W
H,M
H,M
H,A
I,T
I,C
I,C
I,C
I,T
J,J
J,J
J,A
J,Z
J,J
K,X
K,M
K,M
K,M
K,M
L,T
L,I
L,T
L,L
L,A
M,G
M,O
M,A
M,A
M,P
N,Q
N,M
N,N
N,M
N,N
O,G
O,R
O,S
O,G
O,R
P,P
P,A
P,P
P,R
P,R
Q,J
Q,G
Q,Q
Q,Q
Q,Q
R,R
R,R
R,R
R,R
R,A
S,S
S,N
S,E
S,O
S,O
T,T
T,C
T,Y
T,F
T,V
U,D
U,W
U,M
U,M
U,D
V,H
V,P
V,H
V,H
V,O
W,N
W,E
W,H
W,B
W,X
X,R
X,A
X,X
X,X
X,A
Y,T
Y,P
Y,Y
Y,P
Y,P
Z,A
Z,C
Z,Z
Z,P
Z,J
