Rotulo_Real,Classe_Predita
A,A
B,B
C,K
D,L
E,E
F,F
G,G
H,H
I,I
J,J
K,Z
L,L
M,M
N,N
O,P
P,P
Q,Q
R,R
S,C
T,T
U,H
V,V
W,W
X,X
Y,Y
Z,Z
A,R
B,R
C,C
D,N
E,C
F,F
G,Q
H,H
I,J
J,J
K,X
L,I
M,M
N,X
O,Q
P,R
Q,Q
R,R
S,N
T,T
U,B
V,V
W,W
X,R
Y,T
Z,Z
A,A
B,B
C,L
D,B
E,E
F,F
G,L
H,H
I,I
J,J
K,E
L,L
M,M
N,N
O,B
P,P
Q,Q
R,B
S,G
T,T
U,M
V,M
W,W
X,X
Y,Y
Z,Z
A,A
B,B
C,C
D,V
E,E
F,F
G,G
H,H
I,I
J,J
K,F
L,L
M,M
N,X
O,G
P,P
Q,Q
R,R
S,N
T,I
U,B
V,Y
W,P
X,X
Y,Y
Z,Z
A,N
B,B
C,Z
D,B
E,E
F,F
G,G
H,A
I,I
J,J
K,M
L,L
M,T
N,Q
O,B
P,P
Q,Q
R,R
S,G
T,T
U,W
V,V
W,G
X,R
Y,X
Z,Z
