Rotulo_Real,Classe_Predita
A,A
B,B
C,O
D,D
E,E
F,F
G,G
H,H
I,I
J,J
K,Z
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,R
B,J
C,C
D,M
E,R
F,F
G,G
H,M
I,I
J,J
K,X
L,A
M,M
N,N
O,Q
P,P
Q,Q
R,R
S,S
T,T
U,Q
V,V
W,W
X,T
Y,P
Z,Z
A,A
B,B
C,L
D,D
E,E
F,F
G,L
H,H
I,J
J,I
K,E
L,L
M,M
N,N
O,O
P,P
Q,Q
R,B
S,S
T,I
U,U
V,M
W,W
X,X
Y,Y
Z,Z
A,A
B,S
C,C
D,V
E,E
F,F
G,G
H,H
I,I
J,J
K,K
L,L
M,M
N,R
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,Y
W,W
X,X
Y,Y
Z,Z
A,H
B,B
C,Z
D,D
E,E
F,F
G,G
H,H
I,I
J,J
K,X
L,L
M,J
N,N
O,G
P,F
Q,Q
R,R
S,S
T,T
U,W
V,S
W,W
X,R
Y,V
Z,Z
