Rotulo_Real,Classe_Predita
A,A
A,A
A,H
A,W
A,G
B,D
B,R
B,N
B,L
B,R
C,L
C,Z
C,W
C,X
C,U
D,J
D,J
D,J
D,T
D,W
E,R
E,F
E,F
E,F
E,V
F,R
F,F
F,H
F,C
F,F
G,A
G,A
G,A
G,W
G,G
H,W
H,W
H,N
H,W
H,W
I,T
I,T
I,Y
I,J
I,E
J,J
J,J
J,Z
J,A
J,Z
K,H
K,W
K,H
K,R
K,U
L,S
L,C
L,W
L,I
L,I
M,I
M,M
M,M
M,A
M,C
N,Q
N,Q
N,Q
N,M
N,N
O,J
O,A
O,J
O,G
O,S
P,R
P,V
P,D
P,R
P,V
Q,Q
Q,N
Q,N
Q,Q
Q,Q
R,K
R,N
R,K
R,E
R,P
S,B
S,R
S,K
S,S
S,G
T,F
T,F
T,S
T,K
T,K
U,L
U,W
U,W
U,Q
U,Q
V,L
V,M
V,V
V,M
V,V
W,A
W,M
W,W
W,X
W,X
X,N
X,P
X,N
X,A
X,A
Y,V
Y,M
Y,Y
Y,P
Y,V
Z,E
Z,T
Z,T
Z,W
Z,T
