Rotulo_Real,Classe_Predita
A,B
A,M
A,H
A,W
A,N
B,T
B,Z
B,T
B,W
B,D
C,G
C,K
C,M
C,X
C,B
D,D
D,X
D,D
D,O
D,K
E,R
E,D
E,E
E,R
E,R
F,R
F,F
F,E
F,Z
F,X
G,W
G,A
G,W
G,G
G,X
H,K
H,A
H,M
H,D
H,A
I,I
I,F
I,K
I,N
I,E
J,R
J,J
J,A
J,X
J,J
K,X
K,A
K,V
K,A
K,K
L,S
L,X
L,T
L,G
L,K
M,Y
M,M
M,M
M,W
M,K
N,O
N,O
N,X
N,N
N,O
O,G
O,A
O,G
O,U
O,A
P,R
P,B
P,P
P,E
P,T
Q,J
Q,G
Q,E
Q,T
Q,W
R,K
R,R
R,K
R,R
R,F
S,S
S,R
S,S
S,S
S,N
T,T
T,F
T,T
T,X
T,K
U,O
U,O
U,O
U,Q
U,Q
V,B
V,S
V,V
V,R
V,U
W,M
W,G
W,M
W,O
W,K
X,N
X,A
X,K
X,A
X,A
Y,K
Y,T
Y,E
Y,F
Y,Y
Z,Z
Z,Z
Z,F
Z,M
Z,Z
