Rotulo_Real,Classe_Predita
A,A
B,G
C,O
D,D
E,E
F,F
G,G
H,H
I,J
J,J
K,F
L,G
M,M
N,N
O,O
P,P
Q,O
R,R
S,S
T,T
U,U
V,V
W,W
X,Y
Y,Z
Z,Z
A,R
B,R
C,C
D,Q
E,R
F,F
G,G
H,M
I,J
J,J
K,K
L,K
M,M
N,M
O,Q
P,P
Q,Q
R,R
S,A
T,T
U,V
V,V
W,W
X,R
Y,Z
Z,Z
A,A
B,B
C,L
D,D
E,E
F,P
G,G
H,R
I,I
J,J
K,K
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,W
T,T
U,U
V,V
W,W
X,K
Y,Y
Z,Z
A,W
B,I
C,C
D,Q
E,E
F,F
G,G
H,H
I,I
J,J
K,K
L,N
M,M
N,K
O,G
P,P
Q,Q
R,R
S,S
T,T
U,U
V,Y
W,Q
X,X
Y,Y
Z,Z
A,W
B,B
C,Z
D,D
E,E
F,P
G,A
H,H
I,I
J,J
K,K
L,S
M,M
N,N
O,G
P,P
Q,Q
R,R
S,N
T,I
U,H
V,U
W,R
X,A
Y,Y
Z,Z
