Rotulo_Real,Classe_Predita
A,N
A,H
A,H
A,X
A,Q
B,B
B,B
B,T
B,B
B,B
C,D
C,C
C,K
C,X
C,Y
D,D
D,D
D,D
D,P
D,W
E,A
E,E
E,E
E,R
E,R
F,R
F,F
F,E
F,S
F,F
G,D
G,G
G,R
G,H
G,Q
H,W
H,N
H,W
H,A
H,Q
I,T
I,J
I,Z
I,I
I,J
J,J
J,J
J,Z
J,X
J,J
K,X
K,R
K,X
K,L
K,K
L,N
L,X
L,L
L,L
L,W
M,I
M,M
M,W
M,Q
M,M
N,Q
N,M
N,N
N,K
N,S
O,K
O,R
O,G
O,H
O,S
P,R
P,R
P,P
P,A
P,T
Q,Q
Q,Q
Q,Q
Q,N
Q,K
R,R
R,R
R,K
R,P
R,A
S,L
S,H
S,J
S,S
S,S
T,F
T,F
T,X
T,J
T,F
U,Q
U,O
U,M
U,B
U,A
V,H
V,R
V,M
V,P
V,M
W,M
W,G
W,M
W,M
W,X
X,X
X,A
X,N
X,R
X,A
Y,T
Y,Y
Y,Y
Y,M
Y,P
Z,Z
Z,E
Z,Z
Z,M
Z,D
