Rotulo_Real,Classe_Predita
A,A
B,B
C,G
D,D
E,E
F,F
G,G
H,H
I,I
J,J
K,C
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,W
B,R
C,Q
D,D
E,R
F,F
G,R
H,M
I,T
J,J
K,X
L,K
M,M
N,N
O,R
P,P
Q,Q
R,R
S,S
T,T
U,V
V,V
W,W
X,K
Y,Y
Z,Z
A,A
B,B
C,C
D,D
E,E
F,R
G,G
H,N
I,J
J,J
K,R
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,M
W,W
X,X
Y,Y
Z,Z
A,A
B,B
C,C
D,G
E,E
F,F
G,Q
H,Y
I,I
J,J
K,K
L,L
M,M
N,B
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,X
W,W
X,X
Y,Y
Z,Z
A,G
B,B
C,Z
D,G
E,E
F,F
G,W
H,K
I,I
J,J
K,B
L,S
M,M
N,N
O,D
P,P
Q,Q
R,R
S,S
T,T
U,W
V,V
W,M
X,X
Y,P
Z,Z
