Rotulo_Real,Classe_Predita
A,E
A,F
A,W
A,W
A,G
B,B
B,R
B,M
B,B
B,D
C,E
C,R
C,A
C,X
C,R
D,O
D,L
D,D
D,L
D,U
E,D
E,E
E,P
E,P
E,P
F,R
F,R
F,P
F,R
F,F
G,W
G,A
G,W
G,W
G,W
H,W
H,A
H,M
H,W
H,W
I,T
I,J
I,T
I,I
I,F
J,J
J,J
J,R
J,R
J,X
K,F
K,R
K,M
K,X
K,M
L,G
L,Z
L,L
L,I
L,I
M,O
M,R
M,W
M,A
M,M
N,N
N,N
N,Q
N,H
N,Q
O,G
O,A
O,B
O,W
O,W
P,X
P,R
P,P
P,R
P,R
Q,Q
Q,M
Q,R
Q,R
Q,R
R,K
R,R
R,E
R,P
R,R
S,B
S,W
S,S
S,M
S,S
T,E
T,P
T,E
T,J
T,F
U,L
U,O
U,D
U,U
U,D
V,D
V,J
V,M
V,U
V,V
W,W
W,Q
W,W
W,Z
W,W
X,N
X,P
X,R
X,A
X,P
Y,V
Y,Y
Y,Y
Y,Z
Y,U
Z,A
Z,Z
Z,P
Z,O
Z,Z
