Rotulo_Real,Classe_Predita
A,A
B,B
C,G
D,D
E,E
F,F
G,G
H,H
I,J
J,J
K,K
L,I
M,M
N,N
O,O
P,P
Q,Q
R,R
S,Q
T,T
U,U
V,V
W,W
X,Y
Y,Y
Z,Z
A,A
B,J
C,Q
D,R
E,C
F,F
G,G
H,H
I,J
J,J
K,G
L,A
M,M
N,M
O,Q
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,M
X,K
Y,Y
Z,K
A,A
B,R
C,L
D,D
E,L
F,F
G,G
H,H
I,I
J,I
K,K
L,L
M,M
N,N
O,O
P,P
Q,Q
R,H
S,S
T,T
U,U
V,V
W,W
X,K
Y,Y
Z,Z
A,A
B,G
C,C
D,D
E,E
F,T
G,G
H,H
I,I
J,J
K,K
L,L
M,M
N,S
O,G
P,P
Q,Q
R,R
S,S
T,T
U,U
V,X
W,W
X,X
Y,Y
Z,Z
A,A
B,B
C,Z
D,D
E,E
F,F
G,G
H,A
I,I
J,J
K,M
L,S
M,P
N,N
O,D
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,M
X,N
Y,V
Z,B
