Rotulo_Real,Classe_Predita
A,A
B,R
C,Z
D,D
E,F
F,F
G,G
H,H
I,Z
J,J
K,C
L,I
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,R
B,R
C,C
D,D
E,R
F,F
G,Q
H,H
I,J
J,J
K,K
L,L
M,W
N,M
O,D
P,P
Q,D
R,R
S,S
T,Z
U,U
V,F
W,W
X,K
Y,Z
Z,Z
A,A
B,B
C,L
D,D
E,E
F,W
G,G
H,R
I,J
J,I
K,K
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,R
Y,Y
Z,Z
A,A
B,B
C,C
D,Q
E,S
F,F
G,G
H,H
I,T
J,J
K,K
L,E
M,B
N,S
O,O
P,P
Q,Q
R,R
S,S
T,T
U,Q
V,Y
W,P
X,X
Y,Y
Z,Z
A,A
B,R
C,Z
D,D
E,L
F,F
G,A
H,A
I,Y
J,J
K,X
L,S
M,M
N,H
O,D
P,P
Q,Q
R,R
S,S
T,T
U,N
V,N
W,O
X,J
Y,T
Z,Z
