Rotulo_Real,Classe_Predita
A,A
B,P
C,F
D,D
E,F
F,F
G,G
H,H
I,E
J,J
K,L
L,T
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,R
B,R
C,R
D,Q
E,J
F,R
G,G
H,M
I,F
J,J
K,R
L,Q
M,N
N,N
O,M
P,P
Q,O
R,R
S,S
T,Z
U,U
V,V
W,W
X,K
Y,Y
Z,T
A,R
B,B
C,C
D,D
E,E
F,F
G,C
H,H
I,I
J,J
K,X
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,B
W,W
X,K
Y,Y
Z,Z
A,A
B,B
C,C
D,P
E,E
F,F
G,G
H,B
I,I
J,J
K,K
L,L
M,M
N,X
O,U
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,R
X,K
Y,Y
Z,Z
A,N
B,B
C,Z
D,D
E,F
F,F
G,X
H,A
I,E
J,J
K,M
L,S
M,A
N,N
O,C
P,R
Q,G
R,A
S,S
T,T
U,U
V,V
W,L
X,A
Y,Y
Z,P
