Rotulo_Real,Classe_Predita
A,A
B,B
C,J
D,B
E,E
F,F
G,G
H,H
I,J
J,J
K,D
L,I
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,A
B,R
C,Q
D,Q
E,R
F,F
G,R
H,M
I,J
J,J
K,K
L,I
M,M
N,N
O,Q
P,R
Q,Q
R,R
S,S
T,F
U,U
V,V
W,W
X,K
Y,Z
Z,K
A,A
B,B
C,L
D,D
E,E
F,F
G,C
H,H
I,I
J,I
K,R
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,I
U,B
V,V
W,W
X,K
Y,Y
Z,Z
A,W
B,G
C,O
D,J
E,E
F,F
G,G
H,H
I,I
J,J
K,K
L,L
M,M
N,K
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,Y
W,W
X,X
Y,Y
Z,Z
A,W
B,B
C,Z
D,O
E,E
F,F
G,G
H,L
I,I
J,J
K,M
L,S
M,A
N,K
O,D
P,F
Q,Q
R,F
S,S
T,T
U,W
V,V
W,R
X,A
Y,F
Z,Z
